Alpha List,Number of Epochs,Training Loss,Testing Loss
1,10,[[8.41046075e-05]],[[6.23585054e-05]]
1,20,[[1.17726338e-11]],[[8.9537929e-12]]
1,30,[[1.65766657e-18]],[[1.26289198e-18]]
1,40,[[2.35689803e-25]],[[1.7990806e-25]]
1,50,[[0.]],[[0.]]
1,60,[[0.]],[[0.]]
1,70,[[0.]],[[0.]]
1,80,[[0.]],[[0.]]
1,90,[[0.]],[[0.]]
0.5,10,[[0.44510481]],[[0.56761231]]
0.5,20,[[0.00012746]],[[0.00017609]]
0.5,30,[[4.24852148e-08]],[[5.97707881e-08]]
0.5,40,[[1.42776255e-11]],[[2.01652915e-11]]
0.5,50,[[4.80009637e-15]],[[6.78535055e-15]]
0.5,60,[[1.61381324e-18]],[[2.28170892e-18]]
0.5,70,[[5.4267116e-22]],[[7.67316456e-22]]
0.5,80,[[1.82105448e-25]],[[2.59494343e-25]]
0.5,90,[[2.07501973e-28]],[[3.89444852e-28]]
0.3333333333,10,[[13.3463769]],[[15.98798586]]
0.3333333333,20,[[0.06197181]],[[0.08014688]]
0.3333333333,30,[[0.00039215]],[[0.00053327]]
0.3333333333,40,[[2.68876055e-06]],[[3.73924026e-06]]
0.3333333333,50,[[1.87372569e-08]],[[2.63058676e-08]]
0.3333333333,60,[[1.3098116e-10]],[[1.84632514e-10]]
0.3333333333,70,[[9.16149892e-13]],[[1.29365872e-12]]
0.3333333333,80,[[6.4087351e-15]],[[9.05631379e-15]]
0.3333333333,90,[[4.48319467e-17]],[[6.33735568e-17]]
0.25,10,[[66.60289988]],[[78.04186365]]
0.25,20,[[1.14127897]],[[1.40750672]]
0.25,30,[[0.02534025]],[[0.03293877]]
0.25,40,[[0.00064142]],[[0.00086481]]
0.25,50,[[1.70673848e-05]],[[2.35053685e-05]]
0.25,60,[[4.61850474e-07]],[[6.43579048e-07]]
0.25,70,[[1.25657639e-08]],[[1.76237452e-08]]
0.25,80,[[3.4247049e-10]],[[4.82044574e-10]]
0.25,90,[[9.33884768e-12]],[[1.31711144e-11]]
0.2,10,[[169.33967554]],[[195.84891587]]
0.2,20,[[6.42169772]],[[7.71777876]]
0.2,30,[[0.29272932]],[[0.36695589]]
0.2,40,[[0.01518456]],[[0.01978929]]
0.2,50,[[0.00084606]],[[0.00113479]]
0.2,60,[[4.87703131e-05]],[[6.66781569e-05]]
0.2,70,[[2.85365397e-06]],[[3.94955635e-06]]
0.2,80,[[1.68036182e-07]],[[2.34379781e-07]]
0.2,90,[[9.92103093e-09]],[[1.39062707e-08]]
0.1666666667,10,[[311.46806888]],[[356.67607563]]
0.1666666667,20,[[20.19077229]],[[23.90519094]]
0.1666666667,30,[[1.49239638]],[[1.82537419]]
0.1666666667,40,[[0.12282527]],[[0.15550351]]
0.1666666667,50,[[0.0108938]],[[0.01421987]]
0.1666666667,60,[[0.0010106]],[[0.00135078]]
0.1666666667,70,[[9.60822154e-05]],[[0.00013064]]
0.1666666667,80,[[9.25182124e-06]],[[1.27316103e-05]]
0.1666666667,90,[[8.96587234e-07]],[[1.24411205e-06]]
0.1428571429,10,[[478.58783947]],[[543.612779]]
0.1428571429,20,[[45.60287553]],[[53.45454577]]
0.1428571429,30,[[4.79271029]],[[5.76722589]]
0.1428571429,40,[[0.54838601]],[[0.67914715]]
0.1428571429,50,[[0.06716343]],[[0.08559127]]
0.1428571429,60,[[0.00863063]],[[0.01127771]]
0.1428571429,70,[[0.00114375]],[[0.00152495]]
0.1428571429,80,[[0.00015441]],[[0.00020906]]
0.1428571429,90,[[2.10701343e-05]],[[2.88573786e-05]]
0.125,10,[[658.6338412]],[[742.99951233]]
0.125,20,[[83.83632083]],[[97.53054942]]
0.125,30,[[11.52504467]],[[13.7130066]]
0.125,40,[[1.69427169]],[[2.06459528]]
0.125,50,[[0.2639997]],[[0.32992085]]
0.125,60,[[0.04307072]],[[0.05514222]]
0.125,70,[[0.00726409]],[[0.0094993]]
0.125,80,[[0.00125292]],[[0.00166739]]
0.125,90,[[0.00021926]],[[0.00029588]]
0.1111111111,10,[[843.05412232]],[[945.46322497]]
0.1111111111,20,[[134.44302933]],[[155.43689989]]
0.1111111111,30,[[22.8360401]],[[26.94685523]]
0.1111111111,40,[[4.0933054]],[[4.92886147]]
0.1111111111,50,[[0.770354]],[[0.94803339]]
0.1111111111,60,[[0.15111929]],[[0.19013776]]
0.1111111111,70,[[0.03063123]],[[0.03935062]]
0.1111111111,80,[[0.00636103]],[[0.00832315]]
0.1111111111,90,[[0.0013437]],[[0.00178562]]
